Country,RoyalFamily
India,Kadambas of Hangal
India,Kadava dynasty
India,Kakatiya dynasty
India,Kalabhra dynasty
India,Kalachuris of Ratnapura
India,Kalhora dynasty
India,Karnats of Mithila
India,Katyuri Dynasty
India,Khasas
India,Khayaravala dynasty
India,Kingdom of Tanur
India,Koch dynasty
India,Kolathiri
India,Chauhan (Koli clan)
India,Chavda (Koli clan)
India,Kondapadumati
India,Kongu Chera dynasty
India,Kota Vamsa
India,Kushan Empire
India,Ahom dynasty
India,Ajila
India,Alchon Huns
India,Arghun dynasty
India,Aulikaras
India,Bana kingdom
India,Banga Arasa
India,Bhadanaka Kingdom
India,Bhanja dynasty
India,Bhati
India,Bhauma-Kara dynasty
India,Bhoi dynasty
India,Bhoja dynasty
India,Bhonsle dynasty
India,Branches of the Rashtrakuta dynasty
India,Chagi
India,Chahamanas of Naddula
India,Chahamanas of Ranastambhapura
India,Chahamanas of Shakambhari
India,Chavda dynasty
India,Chera dynasty
India,Chero dynasty
India,Chindaka Naga
India,Cholas of Nellore
India,Chutu dynasty
India,Datta dynasty
India,Deva dynasty (Saketa)
India,Eastern Chalukyas
India,Eastern Ganga dynasty
India,Emirate of Multan
India,Barkagarh estate
India,Farooqui dynasty
India,Gahadavala dynasty
India,Garulaka dynasty
India,Gidhaur chieftaincy
India,Gohil dynasty
India,Gonds of Deogarh
India,Guhila dynasty
India,Gupta Empire
India,Gurjaras of Lata
India,Habbari dynasty
India,House of Baghoch
India,House of Holkar
India,House of Scindia
India,Ilyas Shahi dynasty
India,Jethwa dynasty
India,Kadamba dynasty
India,Kadambas of Goa
India,Kadambas of Halasi
United Kingdom,Anson family
United Kingdom,Bowes-Lyon family
United Kingdom,Brassey family
United Kingdom,Cary family
United Kingdom,Cavendish family
United Kingdom,Chevalliers of Aspall Hall
United Kingdom,Cromwell family
United Kingdom,De'Anyers family
United Kingdom,Douglas-Hamilton
United Kingdom,Edwardes family
United Kingdom,Egerton family
United Kingdom,Eliot family (South England)
United Kingdom,Felton family
United Kingdom,FitzClarence
United Kingdom,Grey family
United Kingdom,Howard family
United Kingdom,Leakey family
United Kingdom,Leghs of Lyme
United Kingdom,Leveson-Gower family
United Kingdom,Longe family
United Kingdom,Lyons family
United Kingdom,Lyttelton family
United Kingdom,Mansel family
United Kingdom,Marshal family
United Kingdom,McGowan family
United Kingdom,House of Montagu
United Kingdom,House of Neville
United Kingdom,De Nicolay family
United Kingdom,Percy family
United Kingdom,Pitt family
United Kingdom,Ponsonby family
United Kingdom,Count de Salis-Soglio
United Kingdom,Savage family
United Kingdom,Scudamore family
United Kingdom,Smith family (bankers)
United Kingdom,Spencer family
United Kingdom,Stanley family
United Kingdom,Tyndall
United Kingdom,Villiers family
United Kingdom,Vivian family (baronets and barons)
United Kingdom,Williams-Wynn family
United Kingdom,Willoughby family
United Kingdom,Wodehouse (surname)
United Kingdom,Wolfson family
